title,description,url,genres:,release_year,ratings,box_office,trailer_link
1. Kung Fury 2,The story will focus on Kung Fury's universe with no real connection to the short movie other than the lead character.,https://www.imdb.com/title/tt5765844/?ref_=sr_t_1,ActionComedyCrimeSci-Fi,No release year available,No ratings available,No box office available,No trailer link available
2. School Fight,"The misadventures of Leo, his wild imagination and his friends at school. When new girl Candy joins the class. Candy brings her baggage, in the shape of her ex Bobby. As tension builds the only reasonable conclusion for Leo. School Fight.",https://www.imdb.com/title/tt10833456/?ref_=sr_t_2,ActionComedy,No release year available,No ratings available,No box office available,No trailer link available
3. Nomad,The plot is unknown at this time.,https://www.imdb.com/title/tt10084832/?ref_=sr_t_3,No genres available,No release year available,No ratings available,No box office available,https://www.imdb.com/video/vi1852817689/?playlistId=tt10084832&ref_=tt_ov_vi
4. The Latin from Manhattan,"Story of Vanessa Del Rio, the legendary adult star in Times Square during the 70s and 80s.",https://www.imdb.com/title/tt1934397/?ref_=sr_t_4,No genres available,No release year available,No ratings available,No box office available,No trailer link available
5. Awaken,"An intense, cautionary, cinematic fable, deeply relevant to our times - ultimately asking the audience to answer the question, ""what will it take for us all to awaken?""",https://www.imdb.com/title/tt19885888/?ref_=sr_t_5,No genres available,No release year available,No ratings available,No box office available,No trailer link available
6. The Bell Jar,Not available,https://www.imdb.com/title/tt0844467/?ref_=sr_t_6,No genres available,No release year available,No ratings available,No box office available,No trailer link available
7. Payne & Redemption,"After avenging the murder of his wife and daughter, former NYPD Detective, Ray Candella, begrudgingly seeks counsel from a curious psychiatrist, Dr. Clarence Volpé, whose private practices may uncover more than he'd signed up for.",https://www.imdb.com/title/tt1986097/?ref_=sr_t_7,No genres available,No release year available,No ratings available,No box office available,No trailer link available
8. The Hated Eight,Not available,https://www.imdb.com/title/tt5072374/?ref_=sr_t_8,No genres available,No release year available,No ratings available,No box office available,No trailer link available
9. The Red Man's View,"A film about a Shoshone band who lived in a secluded valley in the 1860's, during the time of the last 'Free' roaming Native Americans in the midst of the American Civil War. They are discovered by a group of Union soldiers and squatters, and forced to move from their home. They are moved from valley to valley as the Union takes more and more of their land in a plan to eradicate the country of 'Savages' - exterminating all Native Americans. But there is hope when the band find a new beginning.",https://www.imdb.com/title/tt1334605/?ref_=sr_t_9,No genres available,No release year available,No ratings available,No box office available,No trailer link available
10. Dawgtown,"As a competitor in the most well funded pit-fighting organization in the world, a young Pitbull leads a revolt in a dangerous break for freedom.",https://www.imdb.com/title/tt2816044/?ref_=sr_t_10,No genres available,No release year available,No ratings available,No box office available,No trailer link available
